Rank,Runner,Flag,Country,Total Score,Performance Score,Volume Bonus,Variety Bonus,Prolific Score,Unique Boards,Unique Games,WRs,Top 3s,Top 10s,Medal Score,Depth Score,Average Place,Profile
1509,toro1099,,Japan,65.17,57.17,8,0,1,1,1,0,0,0,0,7.34,16,https://www.speedrun.com/users/toro1099
1510,The_lone_pie,,United States,65,57,8,0,1,1,1,0,0,0,0,9.11,170,https://www.speedrun.com/users/The_lone_pie
1511,jonnyarcade,,Argentina,64.46,56.46,8,0,1,1,1,0,0,0,0,9.06,171,https://www.speedrun.com/users/jonnyarcade
1512,MihaelV,,Bosnia and Herzegovina,64.01,56.01,8,0,1,1,1,0,0,0,0,7.88,38,https://www.speedrun.com/users/MihaelV
1513,LeHulk,,France,63.8,55.8,8,0,1,1,1,0,0,0,0,7.41,21,https://www.speedrun.com/users/LeHulk
1514,Clackiam,,United States,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/Clackiam
1515,Deactiv8dStylez,,United States,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/Deactiv8dStylez
1516,johnclake2,,United States,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/johnclake2
1517,McBobX,,Morocco,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/McBobX
1518,MinematzHD,,Germany,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/MinematzHD
1519,Naldoo,,Brazil,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/Naldoo
1520,skolargh,,Australia,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/skolargh
1521,speedruntutor,,,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/speedruntutor
1522,TheOldThunder,,United States,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/TheOldThunder
1523,Whippie36,,United States,63.35,55.35,8,0,1,1,1,0,0,0,0,10.32,1122,https://www.speedrun.com/users/Whippie36
1524,NME,,United States,63.29,55.29,8,0,1,1,1,0,0,0,0,9.06,201,https://www.speedrun.com/users/NME
1525,AlexaCatgirl,,Poland,62.77,38.91,13.86,10,3,3,2,0,0,0,0,8.98,321.67,https://www.speedrun.com/users/AlexaCatgirl
1526,[jp]けーずでんき (K's Denki),,,62.73,54.73,8,0,1,1,1,0,0,0,0,8.03,55,
1527,eij9genw,,Québec,62.56,37.26,25.3,0,10,10,1,1,6,9,26,4.31,4.1,https://www.speedrun.com/users/eij9genw
1528,Jaysif,,United States,62.53,54.53,8,0,1,1,1,0,0,0,0,7.63,33,https://www.speedrun.com/users/Jaysif
1529,GoldenCarrot114514,,China,62.36,41.05,11.31,10,2,2,2,0,0,0,0,9.48,662.5,https://www.speedrun.com/users/GoldenCarrot114514
1530,Hewhoisred,,United States,61.85,53.85,8,0,1,1,1,0,0,0,0,8.92,204,https://www.speedrun.com/users/Hewhoisred
1531,BryBad,,United States,61.42,50.11,11.31,0,2,2,1,0,0,0,0,9.27,39,https://www.speedrun.com/users/BryBad
1532,BuzzThunder,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/BuzzThunder
1533,ClassicJames,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/ClassicJames
1534,Existance494,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/Existance494
1535,Izzey,,Venezuela,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/Izzey
1536,JoeyGameLover,,,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/JoeyGameLover
1537,Master_Dreamer,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/Master_Dreamer
1538,Master_Stick,,England,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/Master_Stick
1539,Oddimus,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/Oddimus
1540,ryanr180,,England,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/ryanr180
1541,Shining1432,,Japan,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/Shining1432
1542,smewlee,,Finland,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/smewlee
1543,TGH,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/TGH
1544,TheGreatestPotatoKing,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/TheGreatestPotatoKing
1545,zedddez,,United States,61.31,53.31,8,0,1,1,1,0,0,0,0,10.1,1139,https://www.speedrun.com/users/zedddez
1546,link_7777,,United States,61.12,25.12,16,20,4,4,3,0,0,0,0,7.19,392.75,https://www.speedrun.com/users/link_7777
1547,probablyalex,,Canada,60.93,49.62,11.31,0,2,2,1,0,0,0,0,11.3,741,https://www.speedrun.com/users/probablyalex
1548,dethwing,,United States,60.9,52.9,8,0,1,1,1,0,0,0,0,8.83,206,https://www.speedrun.com/users/dethwing
1549,GregoTheGreatest,,United States,60.71,36.85,13.86,10,3,3,2,0,0,0,0,10.6,237.33,https://www.speedrun.com/users/GregoTheGreatest
1550,Zecke,,Germany,60.34,29.17,21.17,10,7,7,2,0,0,0,0,11.2,365.43,https://www.speedrun.com/users/Zecke
1551,AugusTitan,,Brazil,59.71,51.71,8,0,1,1,1,0,0,0,0,8.25,110,https://www.speedrun.com/users/AugusTitan
1552,MagicK,,Québec,59.55,48.24,11.31,0,2,2,1,0,0,0,0,11.84,813.5,https://www.speedrun.com/users/MagicK
1553,sashoboss,,Australia,59.49,51.49,8,0,1,1,1,0,0,0,0,8.69,209,https://www.speedrun.com/users/sashoboss
1554,63617368,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/0063617368
1555,chadilak,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/chadilak
1556,Garvey,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Garvey
1557,Gateroverrade,,,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Gateroverrade
1558,jamesjmarkeyjr,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/jamesjmarkeyjr
1559,JBHJ,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/JBHJ
1560,Jimboom,,Germany,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Jimboom
1561,LirWm,,Australia,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/LirWm
1562,Luxry,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Luxry
1563,Mickrowatts,,Québec,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Mickrowatts
1564,Pikaboy70,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Pikaboy70
1565,przemekmat,,Poland,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/przemekmat
1566,skateman222,,Canada,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/skateman222
1567,Unbones,,United States,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Unbones
1568,Volpey,,Germany,59.2,51.2,8,0,1,1,1,0,0,0,0,9.86,1157,https://www.speedrun.com/users/Volpey
1569,Maggitz,,,58.97,37.66,11.31,10,2,2,2,0,0,0,0,8.12,1150,
1570,BlindTravel,,Bulgaria,58.81,50.81,8,0,1,1,1,0,0,0,0,8.72,242,https://www.speedrun.com/users/BlindTravel
1571,Snorlax0912,,United States,58.81,50.81,8,0,1,1,1,0,0,0,0,8.72,242,https://www.speedrun.com/users/Snorlax0912
1572,Wen0426TW,,Taiwan,58.81,50.81,8,0,1,1,1,0,0,0,0,8.72,242,https://www.speedrun.com/users/Wen0426TW
1573,PabloSoler,,Spain,58.63,37.32,11.31,10,2,2,2,0,0,0,0,7.7,392,https://www.speedrun.com/users/PabloSoler
1574,ZeSpecialK,,United States,57.79,49.79,8,0,1,1,1,0,0,0,0,7.6,59,https://www.speedrun.com/users/ZeSpecialK
1575,quixoticflux888,,United States,57.63,49.63,8,0,1,1,1,0,0,0,0,8.5,213,https://www.speedrun.com/users/quixoticflux888
1576,GeneralTauroneo,,Belgium,57.56,46.25,11.31,0,2,2,1,0,0,0,0,8.65,93.5,https://www.speedrun.com/users/GeneralTauroneo
1577,Double,,Japan,57.44,49.44,8,0,1,1,1,0,0,0,0,8.03,113,https://www.speedrun.com/users/Double
1578,Jabem,,United States,57.29,35.98,11.31,10,2,2,2,0,0,0,0,9.18,775,https://www.speedrun.com/users/Jabem
1579,danishnajmi,,Malaysia,57,49,8,0,1,1,1,0,0,0,0,9.61,1176,https://www.speedrun.com/users/danishnajmi
1580,danredge,,Québec,57,49,8,0,1,1,1,0,0,0,0,9.61,1176,https://www.speedrun.com/users/danredge
1581,g00w,,Sweden,57,49,8,0,1,1,1,0,0,0,0,9.61,1176,https://www.speedrun.com/users/g00w
1582,Maia_Starchild,,United States,57,49,8,0,1,1,1,0,0,0,0,9.61,1176,https://www.speedrun.com/users/Maia_Starchild
1583,Mike71250,,Canada,57,49,8,0,1,1,1,0,0,0,0,9.61,1176,https://www.speedrun.com/users/Mike71250
1584,Ribozome,,France,57,49,8,0,1,1,1,0,0,0,0,9.61,1176,https://www.speedrun.com/users/Ribozome
1585,TheOtherKarl,,Sweden,57,49,8,0,1,1,1,0,0,0,0,9.61,1176,https://www.speedrun.com/users/TheOtherKarl
